Columns,Question,ExpectedCode
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the average unit price for each item.,"```
def process(df):
    avg_price_per_item = df.groupby('ItemCode').agg(AverageUnitPrice=('UnitPrice', 'mean'))
    return avg_price_per_item
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find the total quantity sold for each item.,"```
def process(df):
    total_quantity_per_item = df.groupby('ItemCode').agg(TotalQuantity=('Quantity', 'sum'))
    return total_quantity_per_item
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Identify the date with the highest sales amount.,"```
def process(df):
    sales_per_date = df.groupby('InvoiceDocDate').agg(DailySales=('TotalAmount', 'sum')).sort_values(by='DailySales', ascending=False)
    return sales_per_date
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Compute the total tax collected from sales.,"```
def process(df):
    total_tax_collected = df['Tax'].sum()
    return total_tax_collected
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Determine the item that has been sold to the most number of unique customers.,"```
def process(df):
    unique_customers_per_item = df.groupby('ItemCode').agg(UniqueCustomers=('CustomerCode', 'nunique')).sort_values(by='UniqueCustomers', ascending=False)
    return unique_customers_per_item
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the average discount given across all sales.,"```
def process(df):
    avg_discount = df['Discount'].mean()
    return avg_discount
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find out how many items were sold on a given day.,"```
def process(df):
    specific_date = 'YYYY-MM-DD'
    Items_sold_on_date = df[df['InvoiceDocDate'] == specific_date]['Quantity'].sum()
    return specific_date
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Identify the customer who received the highest discount in total.,"```
def process(df):
    discount_per_customer = df.groupby('CustomerCode').agg(TotalDiscount=('Discount', 'sum')).sort_values(by='TotalDiscount', ascending=False)
    Highest_discount_customer = discount_per_customer.head(1)
    return discount_per_customer
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the total sales amount before applying any tax or discount.,"```
def process(df):
    df['SalesBeforeTaxDiscount'] = df['UnitPrice'] * df['Quantity']
    Total_sales_before = df['SalesBeforeTaxDiscount'].sum()
    return df['SalesBeforeTaxDiscount']
```"
"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find out the most sold item in terms of quantity.,"```
def process(df):
    quantity_per_item = df.groupby('ItemCode').agg(TotalQuantity=('Quantity', 'sum')).sort_values(by='TotalQuantity', ascending=False)
    Top_item_by_quantity = quantity_per_item.head(1)
    return quantity_per_item
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Calculate the survival rate by gender.,"```
def process(df):
    survival_by_gender = df.groupby('Sex').agg(SurvivalRate=('Survived', 'mean'))
    return survival_by_gender
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the passenger class with the highest survival rate.,"```
def process(df):
    survival_by_class = df.groupby('Pclass').agg(SurvivalRate=('Survived', 'mean')).sort_values(by='SurvivalRate', ascending=False)
    Highest_survival_class = survival_by_class.head(1)
    return survival_by_class
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Determine the average age of passengers who survived and those who didn't.,"```
def process(df):
    avg_age_by_survival = df.groupby('Survived').agg(AverageAge=('Age', 'mean'))
    return avg_age_by_survival
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Find the total fare collected for each passenger class.,"```
def process(df):
    fare_by_class = df.groupby('Pclass').agg(TotalFare=('Fare', 'sum'))
    return fare_by_class
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Calculate the total number of passengers embarked from each port.,"```
def process(df):
    passengers_by_port = df.groupby('Embarked').size()
    return passengers_by_port
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Find the average fare paid by passengers based on their gender.,"```
def process(df):
    avg_fare_by_gender = df.groupby('Sex').agg(AverageFare=('Fare', 'mean'))
    return avg_fare_by_gender
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the number of siblings/spouses passengers had onboard on average.,"```
def process(df):
    avg_sibsp = df['SibSp'].mean()
    return avg_sibsp
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Determine how many passengers traveled without any parents or children.,"```
def process(df):
    passengers_without_parch = df[df['Parch'] == 0].shape[0]
    return passengers_without_parch
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the distribution of passengers across different ticket classes.,"```
def process(df):
    distribution_by_class = df.groupby('Pclass').size()
    return distribution_by_class
```"
"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Calculate the survival rate for passengers under the age of 18.,"```
def process(df):
    survival_rate_under_18 = df[df['Age'] < 18]['Survived'].mean()
    return survival_rate_under_18
```"
"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal, target",Calculate the prevalence of heart disease by gender.,"```
def process(df):
    prevalence_by_gender = df.groupby('sex').agg(Prevalence=('target', 'mean'))
    return prevalence_by_gender
```"
"age, sex, cp, trestbps, chol, fbs, restecg, thalach, exang, oldpeak, slope, ca, thal, target",Determine the average cholesterol level for patients with and without heart disease.,"```
def process(df):
    avg_chol_by_disease = df.groupby('target').agg(AverageChol=('chol', 'mean'))
    return avg_chol_by_disease
```"
