Dataset,DataFrame,Columns,Task,Steps,ExpectedCode
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the average unit price for each item.,"Group by 'ItemCode' or 'ItemName'., Compute the average of 'UnitPrice' for each group.","avg_price_per_item = df.groupby('ItemCode').agg(AverageUnitPrice=('UnitPrice', 'mean'))"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find the total quantity sold for each item.,"Group by 'ItemCode' or 'ItemName'., Sum the 'Quantity' for each group.","total_quantity_per_item = df.groupby('ItemCode').agg(TotalQuantity=('Quantity', 'sum'))"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Identify the date with the highest sales amount.,"Group by 'InvoiceDocDate'., Sum the 'TotalAmount' for each group/date., Sort in descending order and pick the top date.","sales_per_date = df.groupby('InvoiceDocDate').agg(DailySales=('TotalAmount', 'sum')).sort_values(by='DailySales', ascending=False)
highest_sales_date = sales_per_date.head(1)"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Compute the total tax collected from sales.,Sum the 'Tax' column.,total_tax_collected = df['Tax'].sum()
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Determine the item that has been sold to the most number of unique customers.,"Group by 'ItemCode' or 'ItemName'., Count the distinct 'CustomerCode' for each group., Sort in descending order and pick the top item.","unique_customers_per_item = df.groupby('ItemCode').agg(UniqueCustomers=('CustomerCode', 'nunique')).sort_values(by='UniqueCustomers', ascending=False)
most_sold_item = unique_customers_per_item.head(1)"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the average discount given across all sales.,Compute the mean of the 'Discount' column.,avg_discount = df['Discount'].mean()
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find out how many items were sold on a given day.,"Filter the data by a specific 'InvoiceDocDate'., Sum the 'Quantity' for that date.","specific_date = 'YYYY-MM-DD'
items_sold_on_date = df[df['InvoiceDocDate'] == specific_date]['Quantity'].sum()"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Identify the customer who received the highest discount in total.,"Group by 'CustomerCode' or 'CustomerName'., Sum the 'Discount' for each customer., Sort in descending order and pick the top customer.","discount_per_customer = df.groupby('CustomerCode').agg(TotalDiscount=('Discount', 'sum')).sort_values(by='TotalDiscount', ascending=False)
highest_discount_customer = discount_per_customer.head(1)"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Calculate the total sales amount before applying any tax or discount.,"Multiply 'UnitPrice' by 'Quantity' for each row., Sum the resultant values to get the total sales amount.","df['SalesBeforeTaxDiscount'] = df['UnitPrice'] * df['Quantity']
total_sales_before = df['SalesBeforeTaxDiscount'].sum()"
Sales dataset,df,"InvoiceDocDate, CustomerCode, CustomerName, ItemCode, ItemName, UnitPrice, Quantity, Discount, Tax, TotalAmount",Find out the most sold item in terms of quantity.,"Group by 'ItemCode' or 'ItemName'., Sum the 'Quantity' for each item., Sort in descending order and pick the top item.","quantity_per_item = df.groupby('ItemCode').agg(TotalQuantity=('Quantity', 'sum')).sort_values(by='TotalQuantity', ascending=False)
top_item_by_quantity = quantity_per_item.head(1)"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Calculate the survival rate by gender.,"Group by 'Sex'., Compute the mean of 'Survived' for each gender.","survival_by_gender = df.groupby('Sex').agg(SurvivalRate=('Survived', 'mean'))"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the passenger class with the highest survival rate.,"Group by 'Pclass'., Compute the mean of 'Survived' for each class., Sort in descending order and pick the top class.","survival_by_class = df.groupby('Pclass').agg(SurvivalRate=('Survived', 'mean')).sort_values(by='SurvivalRate', ascending=False)
highest_survival_class = survival_by_class.head(1)"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Determine the average age of passengers who survived and those who didn't.,"Group by 'Survived'., Compute the mean of 'Age' for each group.","avg_age_by_survival = df.groupby('Survived').agg(AverageAge=('Age', 'mean'))"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Find the total fare collected for each passenger class.,"Group by 'Pclass'., Sum the 'Fare' for each class.","fare_by_class = df.groupby('Pclass').agg(TotalFare=('Fare', 'sum'))"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Calculate the total number of passengers embarked from each port.,"Group by 'Embarked'., Count the number of passengers for each port.",passengers_by_port = df.groupby('Embarked').size()
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Find the average fare paid by passengers based on their gender.,"Group by 'Sex'., Compute the mean of 'Fare' for each gender.","avg_fare_by_gender = df.groupby('Sex').agg(AverageFare=('Fare', 'mean'))"
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the number of siblings/spouses passengers had onboard on average.,Compute the mean of the 'SibSp' column.,avg_sibsp = df['SibSp'].mean()
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Determine how many passengers traveled without any parents or children.,"Filter data for 'Parch' equal to 0., Count the number of such passengers.",passengers_without_parch = df[df['Parch'] == 0].shape[0]
Titanic Survival dataset,df,"PassengerId, Survived, Pclass, Name, Sex, Age, SibSp, Parch, Ticket, Fare, Cabin, Embarked",Identify the distribution of passengers across different ticket classes.,"Group by 'Pclass'., Count the number of passengers in each class.",distribution_by_class = df.groupby('Pclass').size()
